カテゴリKey	カテゴリ名	特性	番号	現在のセリフ	修正後セリフ
titleWin	王座奪取（新チャンピオン）	リーダー気質	1	この団体を背負って立つ。それがチャンピオンの使命よ。	
titleWin	王座奪取（新チャンピオン）	リーダー気質	2	ベルトを獲った。ここからが本当の闘いね。	
titleWin	王座奪取（新チャンピオン）	努力家	1	コツコツ積み重ねてきて……よかった。本当に、よかった……！	
titleWin	王座奪取（新チャンピオン）	努力家	2	諦めなくてよかった…。このベルト、努力の結晶です。	
titleWin	王座奪取（新チャンピオン）	負けず嫌い	1	当然の結果よ！…でも、ちょっとだけ泣きそう。	
titleWin	王座奪取（新チャンピオン）	負けず嫌い	2	やっと…やっと獲れた！次は誰が来ても負けないから！	
titleWin	王座奪取（新チャンピオン）	華	1	新チャンピオン誕生♪ 皆さん、これからもっと輝きますよ！	
titleWin	王座奪取（新チャンピオン）	華	2	ベルトが似合うのは私だけでしょ？ ふふ♪	
titleWin	王座奪取（新チャンピオン）	ヒール適性	1	ふふ…このベルト、しばらく返す気はないわよ？	
titleWin	王座奪取（新チャンピオン）	ヒール適性	2	当然の結果ね。実力が違うのよ。	
titleWin	王座奪取（新チャンピオン）	闘志	1	燃える…！もっと強い相手と闘いたい！誰でもかかってこい！	
titleWin	王座奪取（新チャンピオン）	闘志	2	この炎は消えない。ベルトを懸けて、もっと熱い闘いを！	
titleWin	王座奪取（新チャンピオン）	野心	1	てっぺんに立った。でもまだ足りない……もっと上へ。	
titleWin	王座奪取（新チャンピオン）	野心	2	これが始まりよ。このベルトで時代を作る。	
titleWin	王座奪取（新チャンピオン）	威圧感	1	…当然だ。この座は私のためにある。	
titleWin	王座奪取（新チャンピオン）	威圧感	2	ようやくベルトが正しい場所に来たわね。	
titleWin	王座奪取（新チャンピオン）	反骨心	1	…別に嬉しくなんかない。ただ、やるべきことをやっただけ。	
titleWin	王座奪取（新チャンピオン）	反骨心	2	期待してなかったくせに。…まあ、見てたでしょ。	
