ID	名前	Role	Style	特性	現在のプロフィール	修正後プロフィール
1	阿武隈塔子	Babyface	Grappler	リーダー気質, 人望, 威圧感, 引き出し上手, ガラスの身体	抜きん出た体格とパワーで粕田市内最強と謳われた伝説のレスラー。面倒見が良く人望も厚いチームの大黒柱。パワーボムと強烈なラリアットを武器に圧倒的な存在感で対戦相手を飲み込む。チーム結成当初からのメンバーで、後輩たちの指導も惜しまない精神的支柱でもある。	
2	富岡加奈子	Babyface	Grappler	努力家, 頑丈さ, 闘志, 負けず嫌い	幼少期は病弱だったが、不屈の精神でリハビリを乗り越えパワーレスラーへと変貌した闘志あふれる努力家。高階家のメイドとともに鍛錬を重ね、今では市内有数のパワーファイターに成長した。病弱だった過去を知る者は少なく、そのたくましい闘いぶりに周囲は驚かされる。	
3	澤出みずき	Neutral	Allround	引き出し上手, 早熟, 適応力	癒し系おでこちゃん。やさしげな雰囲気の裏に確かな実力を秘めるバランス型。家庭の事情で転校した苦労人。どんな相手にも柔軟に対応できる器用さが最大の武器で、試合展開を読む力にも優れる。苦労の中で培った精神的なタフさが、重要な場面での粘り強さに表れている。	
4	高津小春	Babyface	Striker	晩成, 番狂わせ体質, 負けず嫌い, 闘志, 反骨心	剣道仕込みの闘志で格上にも決して引かない負けず嫌い。技術は粗削りだがメンタルの強さは粕田随一。試合終盤に底力を発揮するタイプで、何度打ちのめされても立ち上がる不屈の精神は観客の心を掴む。将来の技術向上次第では大化けする可能性を秘めた逸材。	
5	深町真琴	Babyface	Speed	努力家, 華, 鉄人	陸上部の快足女子。ストイックに鍛え上げた脚力から繰り出すスピードと蹴り技で相手を翻弄する実力者。短距離走で鍛えた爆発的な加速力はリングでも遺憾なく発揮され、ドロップキックの切れ味は一級品。寡黙で自分に厳しい性格だが、仲間思いの一面もある。	
6	副沢たまき	Neutral	Allround	ムードメーカー, 早熟, 破天荒	楽をする事を好むマイペース娘。中学時代は生駒のクラスメート。実家は八百屋。器用さが光る万能型。やる気を出した時の対応力は目を見張るものがあるが、普段はのんびりペース。ムードメーカーとして場を和ませるのが得意で、チーム内では愛される存在。	
7	高階まさみ	Babyface	Submission	引き出し上手, 忠誠心	富岡家の専属メイドにして忠実な護衛。関節技のセンスに光るものがあり、お嬢様を支えながら地道に力をつけている。お嬢様を守るためなら自らの身を盾にすることも厭わない献身的な性格。的確な観察眼と冷静な判断力は、戦術面でチームに大きく貢献している。	
8	林真尋	Neutral	Striker	負けず嫌い	バスケ部所属の長身ファイター。運動部の仲間たちとも交流がある。打撃に光るものはあるが技術面に課題を残す。174cmの長身から繰り出すリーチの長い打撃は脅威だが、グラウンドに持ち込まれると苦戦する傾向がある。	
9	宇田川里奈	Neutral	Speed	ファンサービス	おしゃれに目覚めた自称カワイイ系女子。練習より美容にストイックだが、調子が良い時は相手を完封することも。試合では意外にもスピードを活かした巧みな立ち回りを見せることがあり、侮ると痛い目に遭う。	
11	橘玲美	Heel	Submission	ヒール適性, 威圧感, 早熟, 華	寡黙で思慮深い読書家。嗜虐的な一面を持ち、関節技と絞め技で相手を追い詰めるスタイルを好む危険な実力者。そのサブミッション技術は市内トップクラスで、一度捕まれば脱出は至難の業。冷酷なヒールとして恐れられるが、根底には独自の美学と哲学がある。	
12	生駒エリカ	Babyface	Grappler	負けず嫌い, 闘志, 鉄人, 人望, 反骨心	外交官の娘でドイツ帰りの帰国子女。小柄ながら体格に似合わぬパワーと不屈の闘志で相手をねじ伏せる。153cmの小さな体に宿る闘志は誰よりも激しく、タフネスと根性で大型選手にも真っ向から立ち向かう。チームメイトからの信頼も厚く、頼もしいリーダー格。	
13	堂前ユキ	Neutral	Striker	破天荒	口数は極めて少ない打撃戦の申し子。空手道場の娘で、一撃必殺を理想とする戦闘狂。鍛え抜かれた拳足から繰り出される打撃はスピードとパワーを兼ね備え、試合が始まれば相手を容赦なく打ち抜く。寡黙ゆえに何を考えているか掴みにくく、対戦相手に不気味な圧を与える。	
14	黒江舞	Heel	Submission	ヒール適性, 早熟	地下プロレスで卑怯ファイトに目覚めた小心者の優等生。リングに上がるとS性が豹変する二面性の持ち主。普段はおとなしく控えめな生徒だが、リングに上がると目つきが変わりサディスティックな関節技を執拗に仕掛ける。その変貌ぶりは見る者をゾッとさせるが妙な人気がある。	
15	楠木なぎさ	Babyface	Brawler	威圧感	哲玖一のパワーを誇る陽気な重戦車。生駒と橘を慕う忠義者だが、身内以外には非常に冷淡で攻撃的。178cmの長身と圧倒的なパワーで相手を力任せにねじ伏せるブロウラー。技術面は粗いが、その破壊力で格上とも互角に渡り合う。	
