ID	名前	特性	番号	現在のセリフ	修正後セリフ
1	阿武隈塔子	リーダー気質, 人望, 威圧感, 引き出し上手, ガラスの身体	1	これが粕田最強の力よ。まだまだ負けないわ！	
1	阿武隈塔子	リーダー気質, 人望, 威圧感, 引き出し上手, ガラスの身体	2	みんなの期待を背負ってる…だから絶対に倒れない！	
1	阿武隈塔子	リーダー気質, 人望, 威圧感, 引き出し上手, ガラスの身体	3	パワーで押し切る。それが私のやり方！	
2	富岡加奈子	努力家, 頑丈さ, 闘志, 負けず嫌い	1	病弱だった私がここまで来れた…努力は裏切らない！	
2	富岡加奈子	努力家, 頑丈さ, 闘志, 負けず嫌い	2	まだまだ強くなれる。私の伸びしろを舐めないで！	
2	富岡加奈子	努力家, 頑丈さ, 闘志, 負けず嫌い	3	ここまで来るのに何年かかったと思ってるの…簡単には負けないわ！	
3	澤出みずき	引き出し上手, 早熟, 適応力	1	えへへ、勝っちゃった♪ でも油断はしないよ！	
3	澤出みずき	引き出し上手, 早熟, 適応力	2	どんな相手にも合わせられるのが私の強みだから！	
3	澤出みずき	引き出し上手, 早熟, 適応力	3	おでこに当たった？ ごめんね～…って、勝ちは勝ちだよ！	
4	高津小春	晩成, 番狂わせ体質, 負けず嫌い, 闘志, 反骨心	1	諦めない心が一番の武器！ 剣道で鍛えた根性、見せてやる！	
4	高津小春	晩成, 番狂わせ体質, 負けず嫌い, 闘志, 反骨心	2	格上だろうと関係ない。私は絶対に引かないから！	
4	高津小春	晩成, 番狂わせ体質, 負けず嫌い, 闘志, 反骨心	3	まだまだ技は荒いけど…気持ちでは誰にも負けない！	
5	深町真琴	努力家, 華, 鉄人	1	この脚力は伊達じゃない。追いつけるものなら追いついてみなさい！	
5	深町真琴	努力家, 華, 鉄人	2	スピードで翻弄する…それが私のスタイル！	
5	深町真琴	努力家, 華, 鉄人	3	毎日のトレーニングの成果、しっかり出せたわ！	
6	副沢たまき	ムードメーカー, 早熟, 破天荒	1	あ～疲れた。でもまぁ勝ったからいっか♪	
6	副沢たまき	ムードメーカー, 早熟, 破天荒	2	楽して勝てるのが一番！ 効率重視ってやつ？	
6	副沢たまき	ムードメーカー, 早熟, 破天荒	3	八百屋の娘は根性あるんだから、なめないでよね～	
7	高階まさみ	引き出し上手, 忠誠心	1	お嬢様をお守りするために…私は強くなります！	
7	高階まさみ	引き出し上手, 忠誠心	2	関節技の精度、まだまだ磨きますわ！	
7	高階まさみ	引き出し上手, 忠誠心	3	メイドの仕事は万能でなければ。…プロレスも含めて。	
8	林真尋	負けず嫌い	1	バスケで鍛えたフットワーク、プロレスでも使えるんだよね！	
8	林真尋	負けず嫌い	2	技術とかよくわかんないけど、打撃なら任せて！	
8	林真尋	負けず嫌い	3	運動部のプライドにかけて、負けるわけにはいかない！	
9	宇田川里奈	ファンサービス	1	やった～♡ 今日のカワイイ私、完全勝利だね♪	
9	宇田川里奈	ファンサービス	2	美容にストイックな女は、リングでも手を抜かないの♡	
9	宇田川里奈	ファンサービス	3	え、調子いい日だっただけ？ …まぁいいけど♪	
11	橘玲美	ヒール適性, 威圧感, 早熟, 華	1	…まだ足りない。もっと苦しむ顔が見たかったのに。	
11	橘玲美	ヒール適性, 威圧感, 早熟, 華	2	関節が軋む音…心地いいわ。	
11	橘玲美	ヒール適性, 威圧感, 早熟, 華	3	抵抗する意思を折るのが、私の流儀よ。	
12	生駒エリカ	負けず嫌い, 闘志, 鉄人, 人望, 反骨心	1	小さくたって、パワーは誰にも負けないよ！	
12	生駒エリカ	負けず嫌い, 闘志, 鉄人, 人望, 反骨心	2	ドイツで鍛えた根性、見せつけてやる！	
12	生駒エリカ	負けず嫌い, 闘志, 鉄人, 人望, 反骨心	3	体格のハンデ？ そんなの気合でカバーだよ！	
13	堂前ユキ	破天荒	1	……（無言で拳を握りしめる）	
13	堂前ユキ	破天荒	2	…一撃で決める。それだけ。	
13	堂前ユキ	破天荒	3	……次。	
14	黒江舞	ヒール適性, 早熟	1	うふふ…いい声で鳴いてくれたわね♪	
14	黒江舞	ヒール適性, 早熟	2	リングの上では…私、ちょっと違うの。わかったでしょ？	
14	黒江舞	ヒール適性, 早熟	3	優等生の私がこんなことするなんて…でも、やめられないの♡	
15	楠木なぎさ	威圧感	1	はっはっは！ パワーで押し潰すのが一番気持ちいいぜ！	
15	楠木なぎさ	威圧感	2	エリカと橘のためなら、何人でもまとめて相手してやるよ！	
15	楠木なぎさ	威圧感	3	この体格、伊達じゃないんだよ！ どんどんかかってきな！	
16	大河内紗代子	リーダー気質, 威圧感, 華, 野心	1	これが摺出川の支配者…私に逆らう愚かさを知りなさい。	
16	大河内紗代子	リーダー気質, 威圧感, 華, 野心	2	頂点に立つ者の重み…あなたには一生わからないでしょうね。	
16	大河内紗代子	リーダー気質, 威圧感, 華, 野心	3	ふふ…退屈な試合だったわ。もっと楽しませてくれないかしら？	
17	川野辺菜穂子	ライバル体質, 名勝負製造機, 華, 負けず嫌い	1	いい試合だった！ また戦おうね！	
17	川野辺菜穂子	ライバル体質, 名勝負製造機, 華, 負けず嫌い	2	大河内さんを倒した時みたいに…私は諦めない！	
17	川野辺菜穂子	ライバル体質, 名勝負製造機, 華, 負けず嫌い	3	負け続きでも腐らなかった。…やっと報われた気がする！	
18	出羽鷹子	適応力	1	この体格差…最初からわかっていたはずよ。	
18	出羽鷹子	適応力	2	大河内様の期待に応える。それが私の使命。	
18	出羽鷹子	適応力	3	全国から呼ばれた実力、見せてあげたわ。	
19	四条あずさ	忠誠心, 適応力	1	大河内様のために…勝ちを捧げます！	
19	四条あずさ	忠誠心, 適応力	2	忠義を尽くす。それが私の生き方。	
19	四条あずさ	忠誠心, 適応力	3	大河内様が見ていてくれるなら、何でもできる！	
20	岸ゆみえ	努力家, 遅咲き	1	冷静に分析して、弱点を突く。それだけのこと。	
20	岸ゆみえ	努力家, 遅咲き	2	コツコツ磨いた関節技…やっと実を結んだわ。	
20	岸ゆみえ	努力家, 遅咲き	3	身体能力じゃ勝てない。だから頭を使うの。	
21	木ノ内幸音	ヒール適性, ムードメーカー, 華	1	ヒールって楽しいーっ！ 橘さんみたいになれたかなっ！？	
21	木ノ内幸音	ヒール適性, ムードメーカー, 華	2	えへへ、悪役って気持ちいい～！ …あ、声でかい？ ごめーん！	
21	木ノ内幸音	ヒール適性, ムードメーカー, 華	3	橘さん、見てましたか！？ 私、やりましたよーっ！	
22	美濃山まりな	ヒール適性	1	でかいのは正義。押し潰されたいなら何度でも。	
22	美濃山まりな	ヒール適性	2	大河内様に忠誠を。この体で壁になる。	
22	美濃山まりな	ヒール適性	3	ラフファイト？ …それが私の土俵だから。	
23	早見知子	適応力	1	…勝ったの、私が？ へぇ、やるじゃん。	
23	早見知子	適応力	2	大河内様のためなら何でもやるわ。	
23	早見知子	適応力	3	空手かじっといてよかった…かも。	
24	園部梨花		1	あたしがリーダーよ！ 数の力って大事でしょ！？	
24	園部梨花		2	ふんっ、実力で勝ったんだから文句ないでしょ！	
24	園部梨花		3	…え、まぐれじゃないって！ ちゃんと実力よ！	
25	石戸谷なつき	早熟	1	うっし！ パワーで潰せば何とかなるもんだ！	
25	石戸谷なつき	早熟	2	細かいことは苦手だけどさ、勝ちは勝ちだろ？	
25	石戸谷なつき	早熟	3	ガハハ！ もっと暴れさせろよ！	
26	宮守なつめ	努力家, 早熟	1	廃校寸前の学校だったけど…実力は本物だよ！	
26	宮守なつめ	努力家, 早熟	2	堅実に、丁寧に。それが私のプロレス。	
